Link: https://www.naturalnews.com/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
0,0,0,0

Source,Followers,Date,Interactions,Post Type,Link
Gruppo Nazionale Libera Scelta Vaccini,0,Sat Nov 11 2017 13:30:29 GMT+0000,47,Facebook,https://www.facebook.com/groups/242515865581/permalink/10159603066980582
Vegan Christian Community,0,Mon Oct 21 2019 01:40:08 GMT+0000,47,Facebook,https://www.facebook.com/groups/672786346130714/permalink/2492107464198584
Newsworthies,0,Fri Sep 13 2013 21:12:55 GMT+0000,47,Facebook,https://www.facebook.com/116727628853/posts/10151944199658854
The Watchman Magazine,0,Tue Nov 05 2019 07:45:30 GMT+0000,46,Facebook,https://www.facebook.com/groups/1201493203343198/permalink/1354387464720437
Healthy Living with Anya Vien,0,Thu Dec 25 2014 20:30:53 GMT+0000,46,Facebook,https://www.facebook.com/251131238330504/posts/657291841047773
Consciencia Colectiva,0,Thu Jul 04 2019 19:34:26 GMT+0000,46,Facebook,https://www.facebook.com/310447419643848/posts/349077242447532
Greens First,0,Wed May 02 2012 15:00:05 GMT+0000,46,Facebook,https://www.facebook.com/149444648435409/posts/368443046535567
Revista Mundo Nuevo,0,Tue Apr 23 2013 18:23:15 GMT+0000,46,Facebook,https://www.facebook.com/83109448304/posts/10151471741083305
Foodrising,0,Fri Dec 28 2018 01:05:35 GMT+0000,45,Facebook,https://www.facebook.com/609497599105238/posts/1951422288246089
C-VINE Natural Health News Network,0,Fri Nov 22 2019 03:18:28 GMT+0000,45,Facebook,https://www.facebook.com/groups/1481788525207195/permalink/3076672332385465
Sapere è un Dovere,0,Thu Jul 17 2014 18:48:22 GMT+0000,45,Facebook,https://www.facebook.com/444729718909881/posts/692350547481129
GO ON  Olivia STEER,0,Tue Sep 15 2015 21:55:03 GMT+0000,45,Facebook,https://www.facebook.com/526984327439944/posts/617755105029532
Newsworthies,0,Wed Sep 04 2013 03:01:21 GMT+0000,45,Facebook,https://www.facebook.com/116727628853/posts/10151924036203854
Eco(R)esistenza,0,Wed Jul 16 2014 15:29:25 GMT+0000,45,Facebook,https://www.facebook.com/203737476337348/posts/780418298669260
Normális élet Zala megyében,0,Sat Nov 28 2020 16:58:08 GMT+0000,44,Facebook,https://www.facebook.com/groups/2942041309233508/permalink/3198423423595294
Golden Age of Gaia,0,Mon Aug 03 2015 14:57:10 GMT+0000,44,Facebook,https://www.facebook.com/121367054584135/posts/891993854188114
CHEMTRAILS NO,0,Thu Aug 29 2019 19:45:03 GMT+0000,44,Facebook,https://www.facebook.com/groups/179162835474416/permalink/2754291634628177
Vaccine Awareness Movement,2887,Fri Oct 18 2019 00:34:30 GMT+0000,44,Facebook,https://www.facebook.com/198813146959/posts/10156357262066960
Despertando Salud,0,Wed Feb 22 2017 20:24:46 GMT+0000,44,Facebook,https://www.facebook.com/401406659894626/posts/1276093189092631
Janko Ilkovski,0,Tue Sep 02 2014 04:39:34 GMT+0000,44,Facebook,https://www.facebook.com/134731976531/posts/10152732528426532
CONTRE L'AEROPORT DE NOTRE-DAME-DES-LANDES,0,Sat Dec 23 2017 18:59:18 GMT+0000,43,Facebook,https://www.facebook.com/groups/120945284481/permalink/10155349872334482
Muscle Insider,0,Thu Sep 01 2011 12:19:05 GMT+0000,43,Facebook,https://www.facebook.com/478983560369/posts/256195631080548
The Progressive Radio Network,54615,Wed Jun 03 2015 19:47:44 GMT+0000,43,Facebook,https://www.facebook.com/299378255521/posts/10153399850995522
Truth Seekers Secrets,6603,Sun Jul 25 2021 08:56:35 GMT+0000,43,Facebook,https://www.facebook.com/groups/2184249165215064/permalink/2624554124517897
Council Tax & many more gov.acts are Unlawful - Let's fight back.,3264,Fri Oct 11 2019 06:59:18 GMT+0000,42,Facebook,https://www.facebook.com/groups/1957436927904322/permalink/2374610459520298
Mary Tocco,10467,Wed Feb 05 2020 22:25:37 GMT+0000,42,Facebook,https://www.facebook.com/117063961656706/posts/3150048055024933
5G - dangers & health problems discussion,5856,Fri Oct 11 2019 16:57:22 GMT+0000,42,Facebook,https://www.facebook.com/groups/234150374025056/permalink/550859679020789
GalacticConnection.com,0,Thu Dec 03 2015 00:58:18 GMT+0000,42,Facebook,https://www.facebook.com/334709196611250/posts/897927863622711
Health Breakthroughs,0,Tue Oct 21 2014 03:17:38 GMT+0000,42,Facebook,https://www.facebook.com/1420266918239881/posts/1486922794907626
Feather River Tea Party Patriots,0,Thu Oct 17 2019 19:43:48 GMT+0000,41,Facebook,https://www.facebook.com/708493382688774/posts/1208122846059156
SciBabe,0,Fri Sep 12 2014 01:54:32 GMT+0000,41,Facebook,https://www.facebook.com/492861780850602/posts/505311686272278
Restore Liability For The Vaccine Makers,6049,Fri Oct 11 2019 09:03:37 GMT+0000,41,Facebook,https://www.facebook.com/groups/831694823850817/permalink/968314736855491
Normális életet követelünk!,38579,Mon Sep 20 2021 11:11:41 GMT+0000,41,Facebook,https://www.facebook.com/groups/400078784624683/permalink/539177144048179
HG News ...links etc,4435,Sun Nov 17 2019 11:34:19 GMT+0000,41,Facebook,https://www.facebook.com/groups/676443869153776/permalink/1690719284392891
Tribal Sovereign Nations of the Earth - God's Holy Nation,0,Sat Oct 12 2019 18:32:01 GMT+0000,41,Facebook,https://www.facebook.com/groups/562439900503838/permalink/2468946089853200
Mthfr Support,0,Wed Jan 02 2019 14:56:51 GMT+0000,41,Facebook,https://www.facebook.com/301594793192098/posts/2425826027435620
The Minister Of Wellness,0,Wed Apr 15 2020 15:02:51 GMT+0000,40,Facebook,https://www.facebook.com/157152098310174/posts/520375538654493
กลุ่มอาหารเพื่อคนรักสุขภาพ(เจ&มังสวิรัติ)^_^,0,Wed Mar 16 2016 03:44:10 GMT+0000,40,Facebook,https://www.facebook.com/groups/256333817741408/permalink/1057065261001589
Fort Wayne Holistic Living,4631,Tue Oct 08 2019 16:12:58 GMT+0000,40,Facebook,https://www.facebook.com/groups/131569120218658/permalink/3102342186474655
BB-Team,0,Thu Mar 29 2012 10:42:18 GMT+0000,40,Facebook,https://www.facebook.com/151763661572/posts/170801496373880
American Pistachio Growers,0,Thu Jun 13 2013 21:32:16 GMT+0000,39,Facebook,https://www.facebook.com/193464725529/posts/10151712691755530
Flat Earth Soldiers,0,Mon Oct 21 2019 20:43:37 GMT+0000,39,Facebook,https://www.facebook.com/groups/1068224620019541/permalink/1363257787182888
Mass Action Demand: Chemtrails & Geoengineering & Democracy,11637,Fri Jun 14 2019 23:48:10 GMT+0000,39,Facebook,https://www.facebook.com/groups/159668450710660/permalink/2518220414855440
The Real Worldwide Truth Movement!,36359,Mon Oct 07 2019 03:17:36 GMT+0000,39,Facebook,https://www.facebook.com/groups/115702945209925/permalink/2428813397232190
Terrain Model Refutes Germ Theory,0,Sat Jun 27 2020 02:13:45 GMT+0000,38,Facebook,https://www.facebook.com/groups/430027810407566/permalink/3269902623086723
Normális élet Budapesten,0,Sat Nov 28 2020 19:44:51 GMT+0000,38,Facebook,https://www.facebook.com/groups/343330866845440/permalink/411373370041189
Oplysning om Aspartam,7229,Mon Oct 14 2019 07:04:59 GMT+0000,38,Facebook,https://www.facebook.com/607222032673858/posts/2664090293653678
VOX ESPAÑA  AFILIADOS Y SIMPATIZANTES. LIBERTAD SIN CORPORATIVISMO,0,Wed Dec 04 2019 12:05:42 GMT+0000,38,Facebook,https://www.facebook.com/groups/2031249170501303/permalink/2216898821936336
Pastor Paul Begley,0,Mon Feb 22 2016 16:07:14 GMT+0000,37,Facebook,https://www.facebook.com/groups/1382369195331064/permalink/1740129889554991
Seekers of Truth,0,Fri Oct 18 2019 13:23:41 GMT+0000,37,Facebook,https://www.facebook.com/groups/139869306346885/permalink/947889848878156
Newsworthies,0,Sat Aug 31 2013 15:30:49 GMT+0000,37,Facebook,https://www.facebook.com/116727628853/posts/10151915762648854
Greens First,0,Sat May 12 2012 15:00:13 GMT+0000,36,Facebook,https://www.facebook.com/149444648435409/posts/374834965896375
Divine Awakening & Ascension,3419,Fri Apr 03 2020 06:14:36 GMT+0000,36,Facebook,https://www.facebook.com/groups/330209537323818/permalink/1134758666868897
FALSAS BANDERAS,0,Thu Jul 04 2019 11:11:56 GMT+0000,36,Facebook,https://www.facebook.com/groups/1423636724543101/permalink/2312294412343990
He is Coming-Are you ready?,0,Wed Nov 05 2014 10:25:20 GMT+0000,35,Facebook,https://www.facebook.com/groups/386722058156958/permalink/395206910641806
REAL CHANGE FOR JAMAICA- DISCUSSION FORUM (RCFJ),0,Tue Jun 30 2015 03:25:55 GMT+0000,35,Facebook,https://www.facebook.com/groups/117191324974307/permalink/1125981030761993
Berita Dan Belajar Islam,0,Tue Oct 25 2016 07:01:01 GMT+0000,35,Facebook,https://www.facebook.com/groups/553561958138586/permalink/635894813238633
Cash Hyde Foundation,0,Tue Feb 05 2013 21:39:45 GMT+0000,35,Facebook,https://www.facebook.com/127415640667066/posts/140217022805857
Geoengineering Watch California,0,Thu Feb 06 2020 11:12:30 GMT+0000,35,Facebook,https://www.facebook.com/groups/1054244567977288/permalink/2736733466395048
THE DEPLORABLES,0,Tue Mar 06 2018 23:22:59 GMT+0000,34,Facebook,https://www.facebook.com/groups/570006766682883/permalink/579475612402665
Newsworthies,0,Sat Aug 31 2013 23:45:37 GMT+0000,34,Facebook,https://www.facebook.com/116727628853/posts/10151916903768854
Nina Hagen,0,Tue Aug 16 2011 10:50:09 GMT+0000,34,Facebook,https://www.facebook.com/10100331522/posts/261605223867493
Healthy Living with Anya Vien,0,Tue Dec 30 2014 18:01:02 GMT+0000,34,Facebook,https://www.facebook.com/251131238330504/posts/660741990702758
นมแม่,0,Mon Aug 01 2011 10:15:38 GMT+0000,34,Facebook,https://www.facebook.com/123903324290996/posts/264439230237404
The Struggle for Equality,25851,Wed Oct 09 2019 02:32:34 GMT+0000,34,Facebook,https://www.facebook.com/groups/903677139715584/permalink/2491072060976076
Greens First,0,Wed Apr 11 2012 15:01:04 GMT+0000,34,Facebook,https://www.facebook.com/149444648435409/posts/352746398105232
GMOLOL,0,Fri Jul 25 2014 14:58:43 GMT+0000,34,Facebook,https://www.facebook.com/groups/245814652225189/permalink/450350531771599
Hawaii Supporters of President Trump,2215,Mon Oct 07 2019 00:01:55 GMT+0000,34,Facebook,https://www.facebook.com/groups/1655643848043859/permalink/2481321682142734
the true flat earth knowledge,6114,Tue Oct 22 2019 06:13:15 GMT+0000,33,Facebook,https://www.facebook.com/groups/403563909998409/permalink/946715435683251
AWAKE LIKE ME,2993,Wed Oct 09 2019 22:39:56 GMT+0000,33,Facebook,https://www.facebook.com/groups/918890171535718/permalink/2543638105727575
GMOLOL,0,Wed Dec 23 2015 03:02:24 GMT+0000,33,Facebook,https://www.facebook.com/groups/245814652225189/permalink/679655545507762
Foodrising,0,Tue Dec 18 2018 01:06:37 GMT+0000,32,Facebook,https://www.facebook.com/609497599105238/posts/1937907799597538
Gegenwind Deutschland,1872,Sun Nov 17 2019 21:40:17 GMT+0000,32,Facebook,https://www.facebook.com/groups/432991740095698/permalink/2829283603799821
Vaken.se,18838,Tue Sep 25 2018 08:18:52 GMT+0000,32,Facebook,https://www.facebook.com/195125113845948/posts/2432241180134319
Agenda 21: Depopulation  Monsanto, Chemtrails and Vaccines (by N.T.O.),1432,Wed Feb 12 2020 16:47:17 GMT+0000,32,Facebook,https://www.facebook.com/groups/2080047668915966/permalink/2460375170883212
Australian Patriot,0,Tue Sep 25 2018 01:28:51 GMT+0000,32,Facebook,https://www.facebook.com/1936731689685281/posts/2406398889385223
Investigación Espiritual y del Origen Humano,0,Tue Jul 09 2019 15:16:18 GMT+0000,32,Facebook,https://www.facebook.com/groups/571463149642244/permalink/2118290618292815
Tanker Enemy,5361,Mon Apr 26 2021 09:39:06 GMT+0000,32,Facebook,https://www.facebook.com/1984519078243988/posts/4493314570697747
Stepping Stones Living  LLC,0,Mon Oct 28 2019 01:01:42 GMT+0000,32,Facebook,https://www.facebook.com/218269854885695/posts/2508928522486472
Foodrising,0,Fri Nov 23 2018 19:07:21 GMT+0000,31,Facebook,https://www.facebook.com/609497599105238/posts/1905104372877881
STOP MONSANTO !!!,0,Sun May 26 2013 20:30:56 GMT+0000,31,Facebook,https://www.facebook.com/groups/518772088182408/permalink/518941048165512
Curtis Duncan  Your Holistic Health Expert,0,Sun Oct 28 2012 02:06:39 GMT+0000,31,Facebook,https://www.facebook.com/152867998068984/posts/292590730843128
UŽ SVEIKĄ LIETUVĄ,0,Tue Sep 27 2011 00:34:25 GMT+0000,31,Facebook,https://www.facebook.com/groups/104612326239868/permalink/268959893138443
Tactical U -  Firearms Training & Self-Defense,0,Fri Nov 29 2019 01:45:32 GMT+0000,31,Facebook,https://www.facebook.com/119375014755180/posts/3811169142242397
Foodrising,0,Mon Jun 03 2019 18:25:11 GMT+0000,30,Facebook,https://www.facebook.com/609497599105238/posts/2179764652078517
Conservative Party,17491,Wed Oct 16 2019 02:43:42 GMT+0000,30,Facebook,https://www.facebook.com/groups/823568891162965/permalink/1212333315619852
JOSÉ ANTONIO KAST PRESIDENTE,0,Wed Oct 02 2019 01:34:30 GMT+0000,30,Facebook,https://www.facebook.com/groups/612703342084616/permalink/2592722057416058
Escambia Citizens Watch (free speech),0,Tue Oct 29 2019 02:49:35 GMT+0000,30,Facebook,https://www.facebook.com/groups/1682072068725988/permalink/2396934370573084
Love Drops-public group 🍃🌱🍀,3941,Tue Oct 08 2019 11:35:51 GMT+0000,30,Facebook,https://www.facebook.com/groups/274576189558894/permalink/960594164290423
La Presse Galactique,0,Mon Sep 30 2013 22:09:37 GMT+0000,30,Facebook,https://www.facebook.com/186562184697581/posts/648754635144998
Complottisti,99425,Tue Jan 15 2019 15:30:06 GMT+0000,30,Facebook,https://www.facebook.com/118366828517411/posts/774295342924553
Helsefrihets-aksjonen - For deg som vil velge din egen helse selv,0,Mon Oct 07 2019 01:13:34 GMT+0000,30,Facebook,https://www.facebook.com/1917352381737391/posts/2909308672541752
United Canadians Of Canada,2338,Thu Apr 18 2019 01:57:44 GMT+0000,29,Facebook,https://www.facebook.com/904913406371908/posts/1031868047009776
The Minister Of Wellness,0,Sun Feb 16 2020 02:11:01 GMT+0000,29,Facebook,https://www.facebook.com/157152098310174/posts/485876285437752
Australian Traditional Medicine Society,0,Tue Nov 04 2014 22:00:00 GMT+0000,29,Facebook,https://www.facebook.com/163369723694716/posts/831896860175329
Scambio Semi Autoctoni,0,Mon Jul 28 2014 13:51:04 GMT+0000,29,Facebook,https://www.facebook.com/558958090810068/posts/768009056571636
Nathan Crane,0,Wed Oct 28 2015 18:27:09 GMT+0000,29,Facebook,https://www.facebook.com/229585927090642/posts/900120430037185
Forbidden Knowledge News,14509,Sat Apr 04 2020 00:22:04 GMT+0000,29,Facebook,https://www.facebook.com/groups/546415315738993/permalink/1101383830242136
LE SCIE CHIMICHE SONO UNA CAZZATA,0,Mon May 13 2013 21:05:34 GMT+0000,29,Facebook,https://www.facebook.com/groups/39069322088/permalink/10151638148932089
Nexus Svjetlost,0,Tue Oct 29 2013 21:06:02 GMT+0000,29,Facebook,https://www.facebook.com/148997298633206/posts/172304712969131
Time To Wake Up News,117873,Tue Jul 13 2021 21:59:34 GMT+0000,29,Facebook,https://www.facebook.com/150361291827081/posts/1684579798405215
Adem Sejuk,0,Wed Jul 19 2017 03:00:00 GMT+0000,29,Facebook,https://www.facebook.com/287286554774944/posts/565379690298961
Foodrising,0,Thu Jun 06 2019 13:25:11 GMT+0000,28,Facebook,https://www.facebook.com/609497599105238/posts/2184598438261805
TViVO. Sposta il limite,0,Tue Oct 08 2019 09:57:42 GMT+0000,28,Facebook,https://www.facebook.com/groups/520647641609501/permalink/945814432426151
A KÉK BOLYGÓÉRT.,3567,Sat Nov 28 2020 16:55:40 GMT+0000,28,Facebook,https://www.facebook.com/groups/1424031141221256/permalink/2636458773311814
CannaInsider.Com,0,Tue May 12 2015 16:41:16 GMT+0000,28,Facebook,https://www.facebook.com/774211152622877/posts/914504371926887
SERGIO MONOR,0,Sun Oct 13 2019 03:34:43 GMT+0000,28,Facebook,https://www.facebook.com/groups/745601688901775/permalink/2220845004710762
Fox News Sean Hannity,0,Mon Aug 28 2017 21:16:08 GMT+0000,28,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/1919243571671172
Prophecy Unfolding,0,Thu Oct 24 2019 08:11:53 GMT+0000,28,Facebook,https://www.facebook.com/357175164352974/posts/3090707544333042
GMO Free Canada,0,Fri Oct 21 2016 22:21:20 GMT+0000,28,Facebook,https://www.facebook.com/466217586751955/posts/1334909829882722
Good Food Cooking School,0,Wed Apr 08 2015 15:15:04 GMT+0000,28,Facebook,https://www.facebook.com/121912467832239/posts/899020260121452
Joyous Health,0,Tue Jan 29 2013 03:42:46 GMT+0000,28,Facebook,https://www.facebook.com/155786778816/posts/10151368218248817
Bring Vaxxed to Australia/New Zealand,12011,Mon Oct 07 2019 23:05:36 GMT+0000,27,Facebook,https://www.facebook.com/groups/1198002033544520/permalink/2764393503572024
Restore Liability For The Vaccine Makers,6023,Tue Oct 08 2019 22:02:26 GMT+0000,27,Facebook,https://www.facebook.com/groups/831694823850817/permalink/966270223726609
คนไทยสนับสนุนกองทัพไทยในการปกป้องชาติ ศาสน์ กษัตริย์,0,Tue Dec 08 2015 10:54:26 GMT+0000,27,Facebook,https://www.facebook.com/100182950060242/posts/908154699263059
Counter Culture Mom,4208,Mon Oct 28 2019 00:00:31 GMT+0000,27,Facebook,https://www.facebook.com/groups/971321726272177/permalink/3188800744524253
The Straits Times Mind & Body,0,Tue Aug 23 2011 11:43:44 GMT+0000,27,Facebook,https://www.facebook.com/183928441635119/posts/202907979771186
Kimmy Creedmore,0,Mon Nov 25 2019 15:02:47 GMT+0000,27,Facebook,https://www.facebook.com/526446987833123/posts/718875158590304
1 000,000 People Against Forced Vaccination,0,Sat Aug 06 2011 17:10:26 GMT+0000,27,Facebook,https://www.facebook.com/149748398439093/posts/267489809934573
Occupy the EPA,0,Fri Oct 24 2014 04:05:40 GMT+0000,27,Facebook,https://www.facebook.com/191108170963758/posts/735502296524340
Clean Eating Online,0,Thu Jun 06 2013 19:09:47 GMT+0000,27,Facebook,https://www.facebook.com/78730668717/posts/10151612904483718
Trumps Deplorables,3905,Mon Oct 07 2019 13:32:10 GMT+0000,27,Facebook,https://www.facebook.com/groups/186913801879932/permalink/517504978820811
RAINBOW TRIBES OF FACEBOOK,17816,Wed Oct 23 2019 16:22:08 GMT+0000,27,Facebook,https://www.facebook.com/groups/2230889765/permalink/10157787351729766
Jadyn's Epilepsy,0,Fri Oct 11 2019 18:07:20 GMT+0000,26,Facebook,https://www.facebook.com/183183185391155/posts/947945278914938
Activists Hub,0,Sun Oct 20 2019 14:56:18 GMT+0000,26,Facebook,https://www.facebook.com/753785871330910/posts/2610437482332397
TOXINS - REMEDIES,0,Sun Sep 09 2018 11:02:57 GMT+0000,26,Facebook,https://www.facebook.com/groups/1196157320401444/permalink/2399746016709229
Prophecy Alerts,36848,Wed Apr 14 2021 08:01:23 GMT+0000,26,Facebook,https://www.facebook.com/groups/784301088397001/permalink/1805029266324173
Más allá del gluten,0,Wed Mar 28 2012 16:17:32 GMT+0000,26,Facebook,https://www.facebook.com/189377951088208/posts/349917118379552
Normális élet Pest megyében,0,Sat Nov 28 2020 17:05:50 GMT+0000,26,Facebook,https://www.facebook.com/groups/944883179356265/permalink/1017427108768538
1 000,000 people against Monsanto to ban Genetically modified foods?,0,Mon Jul 18 2011 14:29:39 GMT+0000,25,Facebook,https://www.facebook.com/308599163710/posts/251222214888068
Stay And Play In The Smokies,0,Tue Jun 11 2013 17:16:31 GMT+0000,25,Facebook,https://www.facebook.com/347162432328/posts/10151709779572329
CBD Oil Scotland And Beyond,3238,Thu Oct 17 2019 14:21:25 GMT+0000,25,Facebook,https://www.facebook.com/groups/345495615942542/permalink/680377272454373
N.W.O. NUOVO ORDINE MONDIALE,6794,Sat May 23 2020 18:43:28 GMT+0000,25,Facebook,https://www.facebook.com/groups/332913046822812/permalink/2931612650286159
The Earth Diet,0,Mon Jan 06 2014 23:00:01 GMT+0000,25,Facebook,https://www.facebook.com/127773420588779/posts/704805562885559
Agenda 21: Depopulation  Monsanto, Chemtrails and Vaccines (by N.T.O.),0,Mon Dec 30 2019 16:53:29 GMT+0000,25,Facebook,https://www.facebook.com/groups/2080047668915966/permalink/2422339164686813
Truth Shall Set you Free,0,Sat Oct 12 2019 15:08:27 GMT+0000,25,Facebook,https://www.facebook.com/1729107424023462/posts/2401106580156873
Nexus Svjetlost,0,Fri Oct 27 2017 12:11:18 GMT+0000,25,Facebook,https://www.facebook.com/148997298633206/posts/689396654593265
GMOLOL,0,Wed Apr 16 2014 05:28:19 GMT+0000,25,Facebook,https://www.facebook.com/groups/245814652225189/permalink/402220496584603
GMOLOL,0,Wed Dec 24 2014 03:41:32 GMT+0000,25,Facebook,https://www.facebook.com/groups/245814652225189/permalink/524102454396406
MONITORAGGIO della MANIPOLAZIONE METEOCLIMATICA e GEOINGEGNERIA  SERLE (BS),6332,Mon Apr 29 2019 18:57:41 GMT+0000,25,Facebook,https://www.facebook.com/groups/1402970289952147/permalink/2231330787116089
A világ cenzúra nélkül,2381,Sat Nov 28 2020 16:56:05 GMT+0000,25,Facebook,https://www.facebook.com/groups/2711010585649476/permalink/3527613277322532
End Time Evidence & Prophecy Updates,86595,Fri Jun 26 2020 18:53:18 GMT+0000,24,Facebook,https://www.facebook.com/groups/1880789072182226/permalink/2570968163164310
Natural Healthy Concepts,0,Fri Apr 20 2012 18:00:43 GMT+0000,24,Facebook,https://www.facebook.com/67151846158/posts/10150843853601159
Norma Kamali,0,Thu Jan 03 2013 16:00:00 GMT+0000,24,Facebook,https://www.facebook.com/79361106376/posts/10151150602411377
Conspiracy Theorists Say The Darndest Things,0,Thu Aug 14 2014 11:20:00 GMT+0000,24,Facebook,https://www.facebook.com/408424822525750/posts/813001422068086
The United Global Network,0,Fri Apr 03 2020 13:09:37 GMT+0000,24,Facebook,https://www.facebook.com/groups/873997743062141/permalink/886087088519873
Greens First,0,Fri Apr 13 2012 15:00:01 GMT+0000,24,Facebook,https://www.facebook.com/149444648435409/posts/353985361314669
Pro-Vaccine Shills for Big Pharma  the Illumanati, Reptilians, and the NWO,0,Thu Mar 24 2016 06:36:09 GMT+0000,24,Facebook,https://www.facebook.com/709431502441281/posts/1082045208513240
Jews For Trump,1898,Wed Nov 27 2019 13:53:27 GMT+0000,23,Facebook,https://www.facebook.com/groups/1666514490269927/permalink/2379672012287501
GalacticConnection.com,0,Tue Oct 28 2014 16:16:18 GMT+0000,23,Facebook,https://www.facebook.com/334709196611250/posts/705049079577258
Birke Baehr,0,Mon Jul 01 2013 15:03:16 GMT+0000,23,Facebook,https://www.facebook.com/147095181996594/posts/562769830429125
Patricia Finn The Good Health Lawyer,0,Sun Jun 24 2012 23:36:39 GMT+0000,23,Facebook,https://www.facebook.com/135235843158952/posts/374883749232160
ESPAÑA UNIDA ACTÚA,10984,Thu Dec 05 2019 18:03:48 GMT+0000,23,Facebook,https://www.facebook.com/groups/854276931381476/permalink/1711078129034681
Starseed Astrology,0,Mon Mar 05 2012 17:29:21 GMT+0000,22,Facebook,https://www.facebook.com/146572055376427/posts/401997406493994
Informația Liberă,0,Mon Sep 20 2021 12:14:02 GMT+0000,22,Facebook,https://www.facebook.com/100151015423577/posts/226321899473154
Normális élet Komárom-Esztergom megyében,0,Sat Nov 28 2020 16:59:24 GMT+0000,22,Facebook,https://www.facebook.com/groups/2380362875599247/permalink/2454287521540115
Back Pain Solutions,0,Mon Jun 08 2015 13:51:21 GMT+0000,22,Facebook,https://www.facebook.com/139560642748645/posts/895779487126753
END TIMES: APOCALYPSE REVEALED,25259,Tue Apr 13 2021 14:59:43 GMT+0000,22,Facebook,https://www.facebook.com/groups/22527397279/permalink/10159535843537280
Vaxfreekids,0,Mon Mar 09 2020 15:55:37 GMT+0000,22,Facebook,https://www.facebook.com/210307062902305/posts/569109037022104
Learn The Risk Alberta,0,Mon Oct 07 2019 08:56:06 GMT+0000,22,Facebook,https://www.facebook.com/279986669116975/posts/754777508304553
Conservative Republican - People's Grassroots National Campaign,0,Sun Sep 23 2018 22:56:23 GMT+0000,22,Facebook,https://www.facebook.com/groups/1204666772916238/permalink/1868531259863116
Greens First,0,Tue May 15 2012 15:00:31 GMT+0000,22,Facebook,https://www.facebook.com/149444648435409/posts/376609062385632
DEBATE SIN CENSURA  PERO CON RESPETO.,0,Wed Dec 11 2019 09:19:29 GMT+0000,22,Facebook,https://www.facebook.com/groups/183815475635090/permalink/449321322417836
Intellihub,19206,Sun Jul 05 2015 22:55:07 GMT+0000,21,Facebook,https://www.facebook.com/439119036166643/posts/855742707837605
Foodrising,0,Wed Jun 05 2019 02:25:09 GMT+0000,21,Facebook,https://www.facebook.com/609497599105238/posts/2182061355182180
Foodrising,0,Wed Jun 05 2019 16:55:13 GMT+0000,21,Facebook,https://www.facebook.com/609497599105238/posts/2183193835068932
Oregonians For Oregon,0,Mon Oct 14 2019 17:20:08 GMT+0000,21,Facebook,https://www.facebook.com/groups/2445222058896904/permalink/2546061465479629
TBC (SOS) MEDIA CENTER @ THE BILLION COIN,0,Thu Nov 16 2017 18:02:10 GMT+0000,21,Facebook,https://www.facebook.com/groups/576253992566987/permalink/755268914665493
Diamond Sun Human Grail Lines,0,Tue Oct 15 2019 13:48:07 GMT+0000,21,Facebook,https://www.facebook.com/groups/1444317225636584/permalink/2413586835376280
Curtis Duncan  Your Holistic Health Expert,0,Sun May 13 2012 14:32:17 GMT+0000,21,Facebook,https://www.facebook.com/152867998068984/posts/306107549467883
Newsworthies,0,Sat Aug 31 2013 23:44:04 GMT+0000,21,Facebook,https://www.facebook.com/116727628853/posts/10151916901433854
Newsworthies,0,Sun Sep 01 2013 05:26:40 GMT+0000,21,Facebook,https://www.facebook.com/116727628853/posts/10151917435438854
GLOBAL AWARENESS UNITE,0,Mon Jun 25 2018 19:59:03 GMT+0000,21,Facebook,https://www.facebook.com/groups/322918498223927/permalink/405082613340848
The Underground World News,0,Wed Sep 18 2013 17:28:00 GMT+0000,21,Facebook,https://www.facebook.com/113609758657478/posts/648018358549946
HIV non causa AIDS,0,Tue Jan 31 2012 16:48:40 GMT+0000,21,Facebook,https://www.facebook.com/121365461259470/posts/287893674598838
PADRE CANCELADO VIDEOS.,0,Sat Sep 28 2019 00:16:46 GMT+0000,21,Facebook,https://www.facebook.com/groups/1958912614143302/permalink/2706564969378059
Conspiracy Theorists Say The Darndest Things,0,Thu Aug 21 2014 11:20:01 GMT+0000,21,Facebook,https://www.facebook.com/408424822525750/posts/816423531725875
Ormuschile  Oro Monoatomico,0,Tue Jul 30 2019 13:22:57 GMT+0000,21,Facebook,https://www.facebook.com/1824611784446005/posts/2400740956833082
Greens First,0,Thu May 24 2012 15:00:29 GMT+0000,21,Facebook,https://www.facebook.com/149444648435409/posts/381865595193312
Greens First,0,Thu Jun 07 2012 15:00:00 GMT+0000,21,Facebook,https://www.facebook.com/149444648435409/posts/387641037949101
DESPERTAR HUMANIDAD,2863,Thu Sep 02 2021 20:36:59 GMT+0000,21,Facebook,https://www.facebook.com/groups/241114710584705/permalink/577955986900574
Oplysning om Aspartam,7349,Mon Apr 29 2019 21:59:21 GMT+0000,21,Facebook,https://www.facebook.com/607222032673858/posts/2362555043807206
Union Francophone des Eveillés (UFE),0,Mon Nov 13 2017 15:52:48 GMT+0000,21,Facebook,https://www.facebook.com/groups/915930868491757/permalink/1633376066747230
Pastor Paul Begley,0,Mon Oct 20 2014 20:29:11 GMT+0000,20,Facebook,https://www.facebook.com/groups/1382369195331064/permalink/1555786554655993
